Snum,Title,Location,Date,Fatalities,Injured,Total victims,Mental Health Issues,Race,Gender,Latitude,Longitude
1,Las Vegas Strip mass shooting,"Las Vegas, NV",10/1/2017,58,515,573,Unclear,Unknown,Male,,
2,San Francisco UPS shooting,"San Francisco, CA",6/14/2017,3,2,5,Yes,Asian,Male,,
3,Pennsylvania supermarket shooting,"Tunkhannock, PA",6/7/2017,3,0,3,Unclear,White,Male,,
4,Florida awning manufacturer shooting,"Orlando, Florida",6/5/2017,5,0,5,Unclear,Unknown,Male,,
5,Rural Ohio nursing home shooting,"Kirkersville, Ohio",5/12/2017,3,0,3,Yes,White,Male,,
6,Fresno downtown shooting,"Fresno, California",4/18/2017,3,0,3,Unclear,Black,Male,,
7,Fort Lauderdale airport shooting,"Fort Lauderdale, Florida",1/6/2017,5,6,11,Yes,Latino,Male,,
8,Cascade Mall shooting,"Burlington, WA",9/23/2016,5,0,5,Yes,Unknown,Male,,
9,Baton Rouge police shooting,"Baton Rouge, LA",7/17/2016,3,3,6,Yes,Black,Male,,
10,Dallas police shooting,"Dallas, Texas",7/7/2016,5,11,16,Unclear,Black,Male,,
11,Orlando nightclub massacre,"Orlando, Florida",6/12/2016,49,53,102,Unclear,Unknown,Male,,
12,"Ferguson, MO Drive by","Ferguson, Missouri",4/29/2016,0,4,4,Unknown,Unknown,Unknown,38.744217,-90.305391
13,"Forestville, Maryland Drive-by","42486, ",4/26/2016,1,4,5,Unknown,Unknown,Unknown,38.845113,-76.874972
14,"Halifax County, VA","42484, ",4/24/2016,0,6,6,Unknown,Black American or African American,Male,36.765971,-78.928344
15,Tire-Slashing revenge escalation,"42481, ",4/21/2016,0,4,4,Unknown,Black American or African American,Male,39.290385,-76.612189
16,Chicago Rap video Shootout,"42479, ",4/19/2016,1,4,5,Unknown,Unknown,Unknown,41.878114,-87.629798
17,Texas family murder-suicide,"42479, ",4/19/2016,4,0,4,Unknown,White American or European American,Male,29.785785,-95.824396
18,Alabama highway random shooting,"42479, ",4/19/2016,1,4,4,Yes,White American or European American,Male,34.16204,-86.475543
19,Long Beach Street murder,"42478, ",4/18/2016,0,3,4,Unknown,Unknown,Unknown,33.77005,-118.193739
20,"Albuquerque, NM House party shooting","42469, ",4/9/2016,0,4,4,Unknown,White American or European American,Male,35.085334,-106.605553
21,"Memphis, TN gas station shooting","42469, ",4/9/2016,0,4,4,Unknown,Unknown,Unknown,35.149534,-90.04898
22,Chicago Birthday Party Bus Shooting,"42467, ",4/7/2016,0,5,5,Unknown,Unknown,Unknown,41.878114,-87.629798
23,"Albuquerque, NM Family restaurant shooting","42461, ",4/1/2016,3,1,3,Unknown,Asian American,Male,35.085334,-106.605553
24,"Richmond, Virginia","Richmond, Virginia",3/31/2016,2,2,3,Unknown,Black American or African American,Male,37.540725,-77.436048
25,"Louisburg, North Carolina","Louisburg, North Carolina",3/26/2016,3,0,3,Unknown,Black American or African American,Male,36.099039,-78.301106
26,"Lawrenceburg, Tennessee","Lawrenceburg, Tennessee",3/25/2016,2,2,3,Unknown,Unknown,Male,35.242302,-87.334739
27,"Greenhill, AL Family murder-suicide","42454, ",3/25/2016,2,2,3,Yes,White American or European American,Male,34.759257,-86.602493
28,"Sherman, Texas","Sherman, Texas",3/21/2016,4,0,3,Unknown,Unknown,Male,33.635662,-96.60888
29,"Sherman, TX Family murder-suicide","42450, ",3/21/2016,4,0,3,Unknown,White American or European American,Male,33.635662,-96.60888
30,"Louisville, Kentucky","Louisville, Kentucky",3/20/2016,4,0,3,Unknown,White American or European American,Male,38.252665,-85.758456
31,"Louisville, KY Family Murder-Suicide","42449, ",3/20/2016,4,0,3,Yes,White American or European American,Male,38.252665,-85.758456
